N	trait_mean	trait_var	age_MY	ID
60	1.1806	0.006092188	0	5_2
60	1.1395	0.006341459	0.00223802	5_2
60	1.1702	0.006595728	0.006613475	5_2
60	1.1492	0.006627863	0.010259687	5_2
60	1.1911	0.006887755	0.014157362	5_2
60	1.1702	0.006595728	0.016646845	5_2
60	1.1702	0.005847915	0.018935157	5_2
60	1.1798	0.006092188	0.021952712	5_2
60	1.1694	0.006092188	0.025121145	5_2
60	1.1903	0.006092188	0.02766092	5_2
60	1.1589	0.005847915	0.029421161	5_2
60	1.1605	0.005847915	0.034425273	5_2
60	1.1718	0.006595728	0.039353946	5_2
60	1.15	0.006123074	0.042597817	5_2
60	1.179	0.006595728	0.045062154	5_2
60	1.1605	0.00560864	0.04868322	5_2
60	1.171	0.006595728	0.051298434	5_2
60	1.1782	0.006341459	0.054693184	5_2
60	1.1895	0.005847915	0.058867468	5_2
60	1.1895	0.006092188	0.06231251	5_2
60	1.1992	0.01424469	0.0633938	5_2
60	1.221	0.00560864	0.064399652	5_2
60	1.1992	0.005847915	0.067266329	5_2
60	1.2	0.006123074	0.068020718	5_2
60	1.1774	0.006092188	0.069730666	5_2
60	1.1702	0.00560864	0.07478507	5_2
60	1.1992	0.005847915	0.077274553	5_2
60	1.2008	0.006627863	0.083033054	5_2
60	1.1782	0.010396293	0.084365807	5_2
60	1.1895	0.001705578	0.085044757	5_2
60	1.171	0.006887755	0.086729559	5_2
60	1.2008	0.006123074	0.087282777	5_2
60	1.179	0.006341459	0.088967579	5_2
60	1.1903	0.006627863	0.091582793	5_2
60	1.1694	0.006341459	0.091758817	5_2
60	1.221	0.006092188	0.095203859	5_2
60	1.179	0.00560864	0.099000949	5_2
60	1.1887	0.024864796	0.103150087	5_2
60	1.1911	0.005374362	0.110467658	5_2
60	1.1798	0.006341459	0.117483473	5_2
60	1.1903	0.006092188	0.123166535	5_2
60	1.2016	0.007152645	0.127718014	5_2
60	1.1895	0.00560864	0.132043176	5_2
60	1.1903	0.006123074	0.137424482	5_2
60	1.1613	0.006092188	0.146502293	5_2
60	1.1984	0.00560864	0.148136802	5_2
60	1.1879	0.006627863	0.149771311	5_2
60	1.1992	0.013869846	0.153543255	5_2
60	1.1605	0.006595728	0.156535663	5_2
60	1.1911	0.006092188	0.159	5_2
