N	trait_mean	trait_var	age_MY	ID
60	1.4813	0.077627811	0	5_4
60	1.4716	0.096367698	0.001928503	5_4
60	1.5132	0.10437936	0.00659751	5_4
60	1.4298	0.05199849	0.009693265	5_4
60	1.4009	0.104251718	0.014336898	5_4
60	1.5098	0.092481817	0.017052027	5_4
60	1.4329	0.100333546	0.01938653	5_4
60	1.4392	0.125807932	0.02210166	5_4
60	1.3815	0.077627811	0.024816789	5_4
60	1.5417	0.096245054	0.027151293	5_4
60	1.4487	0.104251718	0.029460421	5_4
60	1.4711	0.096367698	0.034129429	5_4
60	1.4421	0.070740681	0.039153687	5_4
60	1.3716	0.074251913	0.042274816	5_4
60	1.3587	0.04110303	0.044989946	5_4
60	1.474	0.054922272	0.048085701	5_4
60	1.3906	0.05792602	0.051587456	5_4
60	1.3906	0.074251913	0.055063837	5_4
60	1.336	0.096245054	0.059732844	5_4
60	1.2302	0.05199849	0.061661347	5_4
60	1.3423	0.096245054	0.062828599	5_4
60	1.3615	0.100333546	0.064376476	5_4
60	1.3807	0.05199849	0.067091605	5_4
60	1.2525	0.054922272	0.068258857	5_4
60	1.2717	0.077627811	0.069426109	5_4
60	1.2908	0.05792602	0.074450367	5_4
60	1.1882	0.05792602	0.078332748	5_4
60	1.39	0.100333546	0.083382381	5_4
60	1.2875	0.077627811	0.084143632	5_4
60	1.3163	0.074144263	0.085310884	5_4
60	1.3932	0.074144263	0.086478136	5_4
60	1.3771	0.100333546	0.088026013	5_4
60	1.1816	0.092361672	0.089573891	5_4
60	1.2777	0.077737961	0.091147143	5_4
60	1.2905	0.067417066	0.091908395	5_4
60	1.2712	0.092481817	0.095790776	5_4
60	1.3256	0.081303975	0.099673157	5_4
60	1.191	0.077627811	0.103149537	5_4
60	1.2517	0.054922272	0.110914299	5_4
60	1.2901	0.051908411	0.118273061	5_4
60	1.3412	0.070740681	0.12370332	5_4
60	1.2578	0.061009736	0.128752952	5_4
60	1.2706	0.100333546	0.133396585	5_4
60	1.2769	0.077737961	0.138826843	5_4
60	1.2479	0.077627811	0.146591605	5_4
60	1.3055	0.077627811	0.148926109	5_4
60	1.2767	0.036060014	0.150473987	5_4
60	1.2894	0.05792602	0.154736993	5_4
60	1.2605	0.074144263	0.157071497	5_4
60	1.2477	0.054829693	0.159	5_4
