N	trait_mean	trait_var	age_MY	ID
60	3.5795	0.382532018	0	5_5
60	3.6142	0.537436224	0.002689377	5_5
60	3.6199	0.504353759	0.006534935	5_5
60	3.469	0.328152371	0.009626462	5_5
60	3.4399	0.341183465	0.015005217	5_5
60	3.6427	0.488206581	0.016563547	5_5
60	3.4107	0.44160385	0.01962994	5_5
60	3.399	0.554665803	0.022721467	5_5
60	3.341	0.302416532	0.025033829	5_5
60	3.6714	0.504353759	0.02694404	5_5
60	3.4974	0.589030196	0.030035567	5_5
60	3.7523	0.426244898	0.034258141	5_5
60	3.6014	0.368486464	0.038882864	5_5
60	3.4796	0.642988494	0.041974391	5_5
60	3.4099	0.30219924	0.045442934	5_5
60	3.6359	0.426244898	0.048509327	5_5
60	3.4503	0.32792602	0.051198704	5_5
60	3.5081	0.47259375	0.054667246	5_5
60	3.3746	0.44160385	0.060071135	5_5
60	3.1891	1.587859056	0.061981347	5_5
60	3.4615	0.209800239	0.063137528	5_5
60	3.3339	0.472322105	0.064293709	5_5
60	3.4846	0.265783046	0.06660607	5_5
60	3.328	0.32792602	0.068918432	5_5
60	3.4207	0.441341264	0.069697597	5_5
60	3.5771	0.456700333	0.074297186	5_5
60	3.1596	0.368726403	0.077388713	5_5
60	3.5768	0.441341264	0.082767468	5_5
60	3.4492	0.411411235	0.083923648	5_5
60	3.4086	0.341183465	0.084702814	5_5
60	3.7332	0.341183465	0.08623601	5_5
60	3.5766	0.441341264	0.088171356	5_5
60	3.1534	0.52076364	0.088925387	5_5
60	3.3678	0.504634462	0.090081568	5_5
60	3.362	0.472322105	0.091639899	5_5
60	3.3039	0.472322105	0.095485457	5_5
60	3.5009	0.368486464	0.098953999	5_5
60	3.2863	0.456700333	0.102799557	5_5
60	3.2106	0.397089273	0.110490673	5_5
60	3.3669	0.411664762	0.117804774	5_5
60	3.3899	0.44160385	0.123208663	5_5
60	3.3434	0.426244898	0.128210402	5_5
60	3.4186	0.554371512	0.132835125	5_5
60	3.3489	0.396840275	0.137836864	5_5
60	3.2211	0.52076364	0.146684161	5_5
60	3.4065	0.504353759	0.148217357	5_5
60	3.2615	0.289942667	0.149775688	5_5
60	3.4063	0.341414346	0.154375277	5_5
60	3.2381	0.426502954	0.155933607	5_5
60	3.2786	0.456967448	0.159	5_5
