stID	tsID	popID	filename	description	citation	URL	total_N	steps	interval_MY	dimension	trait_type	generation_time	log_transformed	taxa	species	oldest_first	microfossil	indet_growth	sampling	sediment	environment	period_start	period_end	epoch_start	epoch_end	age_start	age_end	source	publication_year	signature	lat	lon	set
5	5_1	5_a	Bornemann_and_Mutterlose_2006_Biscutum_RTratio	Biscutum constans, ellipticity of placolith (eP)	Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian "Niveau Breistroffer" (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.	https://doi.org/10.1016/j.geobios.2005.05.005	3000	50	0.159	2	ratio	1	no	coccolith	Biscutum_constans	yes	yes	yes	geological fieldwork	shale	marine	Cretaceous	Cretaceous	Upper-Cretaceous	Upper-Cretaceous	Albian	Albian	unknown	2006	unknown	44.40343602	5.525485085	yes
5	5_10	5_b	Bornemann_and_Mutterlose_2006_Watznaueria_lT	Watznaueria barnesiae, Ratio of central R-unit length to total length (RTratio)	Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian "Niveau Breistroffer" (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.	https://doi.org/10.1016/j.geobios.2005.05.005	3000	50	0.159	1	linear	1	no	coccolith	Watznaueria_barnesiae	yes	yes	yes	geological fieldwork	shale	marine	Cretaceous	Cretaceous	Upper-Cretaceous	Upper-Cretaceous	Albian	Albian	unknown	2006	unknown	44.40343602	5.525485085	yes
5	5_2	5_a	Bornemann_and_Mutterlose_2006_Biscutum_eP	Biscutum constans, ellipticity of central R-unit (eR)	Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian "Niveau Breistroffer" (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.	https://doi.org/10.1016/j.geobios.2005.05.005	3000	50	0.159	1	ratio	1	no	coccolith	Biscutum_constans	yes	yes	yes	geological fieldwork	shale	marine	Cretaceous	Cretaceous	Upper-Cretaceous	Upper-Cretaceous	Albian	Albian	unknown	2006	unknown	44.40343602	5.525485085	yes
5	5_3	5_a	Bornemann_and_Mutterlose_2006_Biscutum_eR	Biscutum constans, length of central R-unit, um (lR)	Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian "Niveau Breistroffer" (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.	https://doi.org/10.1016/j.geobios.2005.05.005	3000	50	0.159	1	ratio	1	no	coccolith	Biscutum_constans	yes	yes	yes	geological fieldwork	shale	marine	Cretaceous	Cretaceous	Upper-Cretaceous	Upper-Cretaceous	Albian	Albian	unknown	2006	unknown	44.40343602	5.525485085	yes
5	5_4	5_a	Bornemann_and_Mutterlose_2006_Biscutum_lR	Biscutum constans, total coccolith length, um (lT)	Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian "Niveau Breistroffer" (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.	https://doi.org/10.1016/j.geobios.2005.05.005	3000	50	0.159	1	linear	1	no	coccolith	Biscutum_constans	yes	yes	yes	geological fieldwork	shale	marine	Cretaceous	Cretaceous	Upper-Cretaceous	Upper-Cretaceous	Albian	Albian	unknown	2006	unknown	44.40343602	5.525485085	yes
5	5_5	5_a	Bornemann_and_Mutterlose_2006_Biscutum_lT	Biscutum constans, Ratio of central R-unit length to total length (RTratio)	Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian "Niveau Breistroffer" (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.	https://doi.org/10.1016/j.geobios.2005.05.005	3000	50	0.159	1	linear	1	no	coccolith	Biscutum_constans	yes	yes	yes	geological fieldwork	shale	marine	Cretaceous	Cretaceous	Upper-Cretaceous	Upper-Cretaceous	Albian	Albian	unknown	2006	unknown	44.40343602	5.525485085	yes
5	5_6	5_b	Bornemann_and_Mutterlose_2006_Watznaueria_RTratio	Watznaueria barnesiae, ellipticity of placolith (eP)	Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian "Niveau Breistroffer" (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.	https://doi.org/10.1016/j.geobios.2005.05.005	3000	50	0.159	2	ratio	1	no	coccolith	Watznaueria_barnesiae	yes	yes	yes	geological fieldwork	shale	marine	Cretaceous	Cretaceous	Upper-Cretaceous	Upper-Cretaceous	Albian	Albian	unknown	2006	unknown	44.40343602	5.525485085	yes
5	5_7	5_b	Bornemann_and_Mutterlose_2006_Watznaueria_eP	Watznaueria barnesiae, ellipticity of central R-unit (eR)	Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian "Niveau Breistroffer" (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.	https://doi.org/10.1016/j.geobios.2005.05.005	3000	50	0.159	2	ratio	1	no	coccolith	Watznaueria_barnesiae	yes	yes	yes	geological fieldwork	shale	marine	Cretaceous	Cretaceous	Upper-Cretaceous	Upper-Cretaceous	Albian	Albian	unknown	2006	unknown	44.40343602	5.525485085	yes
5	5_8	5_b	Bornemann_and_Mutterlose_2006_Watznaueria_eR	Watznaueria barnesiae, length of central R-unit, um (lR)	Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian "Niveau Breistroffer" (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.	https://doi.org/10.1016/j.geobios.2005.05.005	3000	50	0.159	1	ratio	1	no	coccolith	Watznaueria_barnesiae	yes	yes	yes	geological fieldwork	shale	marine	Cretaceous	Cretaceous	Upper-Cretaceous	Upper-Cretaceous	Albian	Albian	unknown	2006	unknown	44.40343602	5.525485085	yes
5	5_9	5_b	Bornemann_and_Mutterlose_2006_Watznaueria_lR	Watznaueria barnesiae, total coccolith length, um (lT)	Bornemann, A., and J. Mutterlose. 2006. Size analyses of the coccolith species Biscutum constans and Watznaueria barnesiae from the Late Albian "Niveau Breistroffer" (SE France): taxonomic and palaeoecological implications. Geobios 39:599-615.	https://doi.org/10.1016/j.geobios.2005.05.005	3000	50	0.159	1	linear	1	no	coccolith	Watznaueria_barnesiae	yes	yes	yes	geological fieldwork	shale	marine	Cretaceous	Cretaceous	Upper-Cretaceous	Upper-Cretaceous	Albian	Albian	unknown	2006	unknown	44.40343602	5.525485085	yes
