N	trait_mean	trait_var	age_MY
60	-1.496109227	0.009646046	0
60	-1.398366942	0.011949057	0.0899999999999999
60	-1.431291727	0.012762382	0.16
60	-1.390302383	0.017564233	0.289999999999999
60	-1.386294361	0.024336	0.32
60	-1.370421012	0.02008804	0.34
60	-1.427116356	0.01265625	0.359999999999999
60	-1.402423743	0.090488466	0.369999999999999
60	-1.398366942	0.022439312	0.529999999999999
60	-1.358679194	0.017502157	0.539999999999999
60	-1.362577835	0.025650024	0.549999999999999
60	-1.335601247	0.019792103	0.57
60	-1.350927217	0.020408163	0.6
60	-1.402423743	0.022622116	0.609999999999999
60	-1.418817553	0.020917287	0.629999999999999
60	-1.474033275	0.023359585	0.65
60	-1.452434164	0.026371539	0.66
60	-1.366491734	0.04	0.68
60	-1.406497068	0.022807164	0.69
60	-1.410587054	0.019416823	0.699999999999999
60	-1.427116356	0.023767361	0.709999999999999
60	-1.386294361	0.021904	0.715
60	-1.37436579	0.020247153	0.720000000000001
60	-1.427116356	0.020069444	0.73
60	-1.386294361	0.020736	0.74
60	-1.394326533	0.028681061	0.75
60	-1.402423743	0.026439289	0.76
60	-1.331806176	0.018595041	0.77
60	-1.347073648	0.027352071	0.779999999999999
60	-1.258781041	0.027387919	0.789999999999999
60	-1.394326533	0.016649324	0.799999999999999
60	-1.248273063	0.034102636	1
60	-1.26940061	0.036929623	1.01
60	-1.32425897	0.031219967	1.02
60	-1.248273063	0.035401668	1.04
60	-1.331806176	0.027777778	1.05
60	-1.305636458	0.028812244	1.06
60	-1.362577835	0.026916504	1.07
60	-1.347073648	0.026094675	1.09
60	-1.316768298	0.036213522	1.1
60	-1.37436579	0.020247153	1.11
60	-1.298283484	0.023668639	1.12
60	-1.231001477	0.031713267	1.14
60	-1.287354413	0.035496744	1.15
60	-1.339410775	0.039391644	1.17
60	-1.354795694	0.043807463	1.18
60	-1.244794799	0.027777778	1.19
60	-1.265848208	0.03143705	1.2
60	-1.187443502	0.04	1.42
60	-1.255266099	0.026051093	1.43
60	-1.220779923	0.037334099	1.44
60	-1.248273063	0.038072576	1.48
60	-1.21402314	0.036832976	1.49
60	-1.22758267	0.023587928	1.51
60	-1.164752091	0.034557857	1.52
60	-1.262308381	0.026420607	1.53
60	-1.26940061	0.038310052	1.54
60	-1.234432012	0.035722299	1.55
60	-1.258781041	0.026234874	1.56
60	-1.203972804	0.033611111	1.58
60	-1.244794799	0.027777778	1.6
60	-1.197328262	0.038167186	1.61
60	-1.22758267	0.032720241	1.62
60	-1.194022473	0.036641288	1.63
60	-1.294627173	0.03329959	1.65
60	-1.21402314	0.046435171	1.66
60	-1.180907531	0.038196692	1.67
60	-1.184170177	0.035926353	1.68
60	-1.164752091	0.032215648	1.7
60	-1.123930097	0.030759763	1.75
60	-1.152013065	0.042310928	1.79
60	-1.142564176	0.026572066	1.8
60	-1.142564176	0.027603895	1.83
60	-1.158362293	0.032952655	1.86
60	-1.15518264	0.025195263	1.88
60	-1.164752091	0.022692719	1.91
60	-1.123930097	0.031848521	1.97
60	-0.957112726	0.032287598	1.99
60	-0.96233467	0.019249746	2.02
60	-1.123930097	0.015914793	2.05
60	-0.96233467	0.031687728	2.08
60	-0.994252273	0.028991965	2.11
60	-1.041287222	0.030848494	2.13
60	-0.916290732	0.02480625	2.16
60	-0.964955904	0.038750078	2.26
60	-0.908818717	0.07450326	2.3
60	-0.916290732	0.02030625	2.32
60	-0.755022584	0.021552739	2.35
60	-0.869884359	0.034654621	2.4
60	-0.805196684	0.030449079	2.43
60	-0.805196684	0.034477926	2.46
60	-0.926341068	0.041838843	2.48
60	-0.903868212	0.065941168	2.51
60	-0.78745786	0.022997223	2.53
60	-0.850971266	0.025360749	2.56
60	-0.94160854	0.030401052	2.6
60	-0.894040123	0.03922143	2.61
60	-0.894040123	0.043190799	2.67
60	-0.802962047	0.020408163	2.69
60	-0.807436327	0.071190854	2.78
60	-0.794073099	0.085284674	2.83
60	-0.736054682	0.037695965	2.86
60	-0.807436327	0.029037383	2.89
60	-0.8603831	0.045269353	2.92
60	-0.944175935	0.047746182	2.94
60	-0.830113036	0.03283078	2.98
60	-0.802962047	0.031887755	3
60	-0.834710745	0.043003674	3.02
60	-0.970219074	0.201196037	3.05
60	-0.964955904	0.039790302	3.08
60	-0.877070019	0.02150171	3.11
60	-0.926341068	0.031246812	3.14
60	-0.88673193	0.056579319	3.19
60	-0.879476759	0.037160691	3.21
