d13C_mean,d13C_variance,d13C_samplesize,d13C_MY
2.04,0.00001,1,0
1.85,0.00001,1,0.09
1.99,0.00001,1,0.16
1.9,0.00001,1,0.29
1.945,0.00045,2,0.32
2,0.00001,1,0.34
1.98,0.00001,1,0.36
1.94,0.0008,2,0.37
2.09,0.00001,1,0.53
1.955,0.00005,2,0.54
1.935,0.01125,2,0.55
1.85,0.0128,2,0.57
1.775,0.00405,2,0.6
1.895,0.00125,2,0.61
1.655,0.00245,2,0.63
1.515,0.00245,2,0.65
1.39,0.0128,2,0.66
1.38,0.0032,2,0.68
1.445,0.00245,2,0.69
1.425,0.00245,2,0.7
1.375,0.00005,2,0.71
1.455,0.00045,2,0.715
1.485,0.00245,2,0.72
1.43,0.0018,2,0.73
1.52,0.0098,2,0.74
1.48,0.0162,2,0.75
1.535,0.00045,2,0.76
1.545,0.00125,2,0.77
1.615,0.00605,2,0.78
1.76,0.0072,2,0.79
1.34,0.0018,2,0.8
2.07,0.0288,2,1
2.06,0.0098,2,1.01
2.005,0.00605,2,1.02
1.975,0.02205,2,1.04
2.055,0.00605,2,1.05
2.09,0.0162,2,1.06
1.915,0.03125,2,1.07
1.9,0.005,2,1.09
1.755,0.01445,2,1.1
1.77,0.0128,2,1.11
1.9,0.0018,2,1.12
1.71,0.0242,2,1.14
1.71,0.0162,2,1.15
1.59,0.0072,2,1.17
1.7,0.0288,2,1.18
1.745,0.02205,2,1.19
1.615,0.01805,2,1.2
1.59,0.0018,2,1.42
1.58,0.0002,2,1.43
1.725,0.01125,2,1.44
1.72,0.02,2,1.48
1.57,0.00001,1,1.49
1.515,0.01805,2,1.51
1.535,0.01445,2,1.52
1.39,0.0128,2,1.53
1.45,0.0128,2,1.54
1.505,0.00245,2,1.55
1.495,0.01805,2,1.56
1.605,0.00125,2,1.58
1.57,0.02,2,1.6
1.595,0.01125,2,1.61
1.475,0.00845,2,1.62
1.56,0.005,2,1.63
1.45,0.0162,2,1.65
1.495,0.01125,2,1.66
1.55,0.0098,2,1.67
1.66,0.0392,2,1.68
1.68,0.0032,2,1.7
1.65,0.0117,2,1.75
1.66,0.0018,2,1.79
1.67,0.00001,1,1.8
1.6,0.0098,2,1.83
1.77,0.0288,2,1.86
1.725,0.00245,2,1.88
1.65,0.0392,2,1.91
1.74,0.0032,2,1.97
1.695,0.00045,2,1.99
1.44,0.0008,2,2.02
1.56,0.0032,2,2.05
1.68,0.00001,1,2.08
1.7,0.00001,1,2.11
1.74,0.00001,1,2.13
1.53,0.00001,1,2.16
1.73,0.00001,2,2.26
1.775,0.00845,2,2.3
1.855,0.00245,2,2.32
1.82,0.0018,2,2.35
1.72,0.0018,2,2.4
1.74,0.0002,2,2.43
1.74,0.0032,2,2.46
1.745,0.00245,2,2.48
1.78,0.0018,2,2.51
1.695,0.00405,2,2.53
1.645,0.00005,2,2.56
1.635,0.00405,2,2.6
1.615,0.00605,2,2.61
1.68,0.0072,2,2.67
1.645,0.00005,2,2.69
1.78,0.00001,1,2.78
1.755,0.00845,2,2.83
1.705,0.00405,2,2.86
1.31,0.0098,2,2.89
1.425,0.00845,2,2.92
1.535,0.00245,2,2.94
1.64,0.00001,1,2.98
,,0,3
1.65,0.00001,1,3.02
,,0,3.05
1.555,0.00045,2,3.08
1.515,0.00125,2,3.11
1.515,0.01125,2,3.14
,,0,3.19
,,0,3.21
