ID_Number	Year of catch	Catch date	Mass
1000003	1940	10.jun.40	20400
1000002	1940	10.jun.40	21800
1000004	1940	12.jun.40	20200
1000005	1940	13.jun.40	16800
1000006	1940	16.jun.40	18100
1000008	1940	17.jun.40	8200
1000007	1940	17.jun.40	14500
1000009	1940	17.jun.40	18100
1000010	1940	18.jun.40	14000
1000011	1940	18.jun.40	18600
1000012	1940	20.jun.40	15000
1000013	1940	22.jun.40	20900
1000014	1940	22.jun.40	22700
1000015	1940	25.jun.40	15900
1000016	1940	27.jun.40	21100
1000017	1940	28.jun.40	15000
1000018	1940	28.jun.40	23100
1000019	1940	30.jun.40	15900
1000020	1940	30.jun.40	18600
1000021	1940	01.jul.40	10900
1000023	1940	03.jul.40	20000
1000022	1940	03.jul.40	20900
1000024	1940	04.jul.40	17700
1000026	1940	05.jul.40	3200
1000025	1940	05.jul.40	11800
1000027	1940	06.jul.40	8200
1000028	1940	06.jul.40	16300
1000029	1940	07.jul.40	18100
1000030	1940	08.jul.40	9000
1000033	1940	09.jul.40	2000
1000032	1940	09.jul.40	3600
1000031	1940	09.jul.40	19100
1000034	1940	11.jul.40	10900
1000036	1940	12.jul.40	8200
1000037	1940	12.jul.40	15000
1000035	1940	12.jul.40	17200
1000039	1940	13.jul.40	14100
1000038	1940	13.jul.40	18100
1000042	1940	15.jul.40	7300
1000040	1940	15.jul.40	7700
1000041	1940	15.jul.40	10900
1000044	1940	16.jul.40	2000
1000043	1940	16.jul.40	9000
1000045	1940	17.jul.40	8200
1000046	1940	17.jul.40	11800
1000047	1940	18.jul.40	6800
1000048	1940	21.jul.40	17700
1000049	1940	22.jul.40	6800
1000050	1940	22.jul.40	16300
1000053	1940	23.jul.40	2000
1000052	1940	23.jul.40	2200
1000051	1940	23.jul.40	14500
1000056	1940	24.jul.40	8200
1000057	1940	24.jul.40	11800
1000055	1940	24.jul.40	14500
1000054	1940	24.jul.40	18100
1000059	1940	25.jul.40	2200
1000058	1940	25.jul.40	11800
1000061	1940	26.jul.40	2000
1000062	1940	26.jul.40	2200
1000060	1940	26.jul.40	4500
1000063	1940	27.jul.40	2200
1000064	1940	27.jul.40	2500
1000065	1940	27.jul.40	7300
1000067	1940	28.jul.40	1800
1000068	1940	28.jul.40	2500
1000066	1940	28.jul.40	7300
1000071	1940	29.jul.40	2700
1000069	1940	29.jul.40	7300
1000070	1940	29.jul.40	11300
1000072	1940	30.jul.40	9500
1000073	1940	30.jul.40	18100
1000074	1940	01.aug.40	20400
1000075	1940	05.aug.40	13200
1000077	1940	07.aug.40	6800
1000076	1940	07.aug.40	11800
1000078	1940	09.aug.40	2200
1000080	1940	12.aug.40	7300
1000079	1940	12.aug.40	9000
1000081	1940	13.aug.40	3600
1000082	1940	14.aug.40	16300
1000083	1940	15.aug.40	7700
1000085	1940	17.aug.40	2200
1000086	1940	17.aug.40	2500
1000084	1940	17.aug.40	8600
1000087	1940	19.aug.40	25900
1000088	1940	21.aug.40	4000
1000090	1940	22.aug.40	2200
1000089	1940	22.aug.40	9000
1000092	1940	22.aug.40	9500
1000091	1940	22.aug.40	10400
1000093	1940	24.aug.40	2500
1000094	1940	24.aug.40	18100
1000095	1940	25.aug.40	1800
1000096	1940	26.aug.40	9500
1000098	1940	26.aug.40	11300
1000097	1940	26.aug.40	18100
1000099	1940	27.aug.40	18100
1000100	1940	28.aug.40	7700
1000101	1940	29.aug.40	9500
1000102	1940	29.aug.40	14500
1000104	1940	30.aug.40	7700
1000103	1940	30.aug.40	18100
1000105	1940	31.aug.40	10400
1000106	1940	31.aug.40	13600
1000107	1940	03.sep.40	2500
1000108	1940	04.sep.40	2700
1000109	1941	12.jun.41	16300
1000110	1941	13.jun.41	11300
1000111	1941	14.jun.41	16300
1000112	1941	19.jun.41	13100
1000113	1941	19.jun.41	14000
1000114	1941	21.jun.41	12700
1000115	1941	24.jun.41	13200
1000116	1941	25.jun.41	14500
1000117	1941	27.jun.41	14500
1000118	1941	04.jul.41	8600
1000119	1941	05.jul.41	8200
1000120	1941	06.jul.41	12900
1000122	1941	06.jul.41	14300
1000121	1941	06.jul.41	14500
1000123	1941	06.jul.41	14500
1000125	1941	07.jul.41	8400
1000124	1941	07.jul.41	11800
1000126	1941	08.jul.41	15900
1000127	1941	09.jul.41	12700
1000128	1941	16.jul.41	9900
1000137	1941	17.jul.41	11100
1000138	1941	20.jul.41	15200
1000139	1941	22.jul.41	11300
1000140	1941	23.jul.41	10000
1000141	1941	24.jul.41	2200
1000142	1941	24.jul.41	11800
1000143	1941	25.jul.41	7700
1000145	1941	26.jul.41	8200
1000144	1941	26.jul.41	16800
1000147	1941	27.jul.41	2300
1000146	1941	27.jul.41	13600
1000148	1941	28.jul.41	1800
1000165	1941	03.aug.41	2300
1000174	1941	04.aug.41	13600
1000185	1941	05.aug.41	2300
1000198	1941	06.aug.41	2700
1000212	1941	07.aug.41	11300
1000306	1941	05.sep.41	11300
1000305	1941	05.sep.41	18100
1000308	1942	05.jun.42	13600
1000309	1942	05.jun.42	18100
1000310	1942	05.jun.42	18100
1000311	1942	05.jun.42	20900
1000312	1942	07.jun.42	20000
1000313	1942	09.jun.42	12200
1000314	1942	09.jun.42	18100
1000315	1942	14.jun.42	9000
1000317	1942	16.jun.42	14100
1000316	1942	16.jun.42	20000
1000321	1942	17.jun.42	11300
1000322	1942	17.jun.42	11800
1000320	1942	17.jun.42	14500
1000319	1942	17.jun.42	19100
1000318	1942	17.jun.42	20000
1000325	1942	19.jun.42	12200
1000324	1942	19.jun.42	14100
1000323	1942	19.jun.42	15400
1000329	1942	21.jun.42	7700
1000327	1942	21.jun.42	9500
1000328	1942	21.jun.42	13200
1000326	1942	21.jun.42	14100
1000330	1942	22.jun.42	10400
1000331	1942	23.jun.42	9100
1000332	1942	25.jun.42	16300
1000333	1942	26.jun.42	14500
1000337	1942	27.jun.42	8600
1000336	1942	27.jun.42	12200
1000335	1942	27.jun.42	21300
1000338	1942	28.jun.42	6800
1000341	1942	29.jun.42	7200
1000342	1942	29.jun.42	7700
1000339	1942	29.jun.42	8200
1000343	1942	29.jun.42	16300
1000340	1942	29.jun.42	17200
1000344	1942	30.jun.42	12700
1000346	1942	01.jul.42	9100
1000351	1942	01.jul.42	10900
1000345	1942	01.jul.42	11300
1000350	1942	01.jul.42	11800
1000347	1942	01.jul.42	12200
1000348	1942	01.jul.42	13200
1000349	1942	01.jul.42	14100
1000352	1942	02.jul.42	8200
1000353	1942	02.jul.42	9500
1000356	1942	03.jul.42	9100
1000358	1942	03.jul.42	9100
1000355	1942	03.jul.42	12700
1000354	1942	03.jul.42	13200
1000357	1942	03.jul.42	13600
1000359	1942	04.jul.42	2300
1000363	1942	05.jul.42	7300
1000361	1942	05.jul.42	9500
1000360	1942	05.jul.42	12200
1000362	1942	05.jul.42	12700
1000364	1942	06.jul.42	16300
1000366	1942	07.jul.42	8200
1000370	1942	07.jul.42	12700
1000365	1942	07.jul.42	13600
1000368	1942	07.jul.42	13600
1000369	1942	07.jul.42	13600
1000367	1942	07.jul.42	15900
1000372	1942	08.jul.42	13600
1000371	1942	08.jul.42	16300
1000373	1942	09.jul.42	13600
1000374	1942	10.jul.42	15000
1000376	1942	11.jul.42	1800
1000375	1942	11.jul.42	12700
1000379	1942	12.jul.42	6400
1000378	1942	12.jul.42	12200
1000377	1942	12.jul.42	13600
1000381	1942	13.jul.42	7700
1000385	1942	13.jul.42	8600
1000382	1942	13.jul.42	9500
1000386	1942	13.jul.42	10900
1000383	1942	13.jul.42	11300
1000380	1942	13.jul.42	11800
1000384	1942	13.jul.42	11800
1000387	1942	14.jul.42	11800
1000388	1942	15.jul.42	18100
1000393	1942	17.jul.42	6800
1000390	1942	17.jul.42	9100
1000391	1942	17.jul.42	9500
1000392	1942	17.jul.42	10900
1000394	1942	18.jul.42	17200
1000395	1942	19.jul.42	20400
1000396	1942	20.jul.42	11800
1000398	1942	21.jul.42	7200
1000399	1942	22.jul.42	9500
1000402	1942	22.jul.42	10400
1000400	1942	22.jul.42	11300
1000401	1942	22.jul.42	15000
1000405	1942	23.jul.42	17200
1000406	1942	24.jul.42	4100
1000407	1942	24.jul.42	9100
1000409	1942	25.jul.42	7300
1000408	1942	25.jul.42	9500
1000410	1942	26.jul.42	8200
1000411	1942	27.jul.42	8200
1000412	1942	29.jul.42	8200
1000414	1942	29.jul.42	8200
1000416	1942	30.jul.42	9500
1000415	1942	30.jul.42	13600
1000417	1942	31.jul.42	10400
1000420	1942	01.aug.42	2700
1000419	1942	01.aug.42	7700
1000418	1942	01.aug.42	11800
1000423	1942	02.aug.42	2700
1000422	1942	02.aug.42	3200
1000421	1942	02.aug.42	10000
1000425	1942	03.aug.42	9500
1000424	1942	03.aug.42	12200
1000426	1942	06.aug.42	8200
1000427	1942	08.aug.42	8200
1000432	1942	15.aug.42	16800
1000433	1942	15.aug.42	17200
1000438	1942	18.aug.42	8600
1000440	1942	20.aug.42	2300
1000441	1942	21.aug.42	13600
1000445	1942	24.aug.42	3600
1000447	1942	25.aug.42	20400
1000448	1942	29.aug.42	13600
1000452	1942	02.sep.42	15000
1000458	1943	01.jun.43	11300
1000459	1943	01.jun.43	12700
1000460	1943	04.jun.43	14500
1000461	1943	04.jun.43	15000
1000462	1943	05.jun.43	13600
1000463	1943	08.jun.43	18100
1000465	1943	10.jun.43	15000
1000464	1943	10.jun.43	15900
1000466	1943	18.jun.43	20000
1000468	1943	20.jun.43	10900
1000469	1943	20.jun.43	11300
1000467	1943	20.jun.43	18100
1000470	1943	27.jun.43	6400
1000471	1943	27.jun.43	10900
1000472	1943	28.jun.43	9100
