Year	DC_year	DC_Jun_Sept
1931	38.9	78.9
1932	50.2	111.2
1933	38.6	83.6
1934	49.9	95.4
1935	40.1	99.1
1936	32.6	73.4
1937	32.2	53.9
1938	55.3	131.3
1939	31.6	74.8
1940	39.0	87.9
1941	35.0	83.4
1942	40.4	91.0
1943	52.8	122.9
1944	51.1	125.7
1945	45.2	93.9
1946	42.1	93.9
1947	31.2	51.3
1948	40.1	63.8
1949	54.3	98.1
1950	33.6	77.7
1951	20.4	47.7
1952	41.3	87.5
1953	50.0	112.0
1954	29.1	61.8
1955	29.0	65.8
1956	30.2	62.5
1957	29.1	57.8
1958	23.9	50.5
1959	21.3	44.1
1960	15.5	33.6
1961	18.9	38.1
1962	22.8	49.2
1963	14.4	23.4
1964	20.4	40.1
1965	23.0	52.7
1966	15.9	32.5
1967	20.7	44.4
1968	25.1	56.1
1969	14.7	26.4
1970	16.2	35.0
1971	23.7	39.0
1972	21.8	44.6
1973	30.3	66.7
1974	16.7	34.5
1975	16.4	31.1
1976	25.4	55.0
1977	11.4	22.7
1978	17.1	26.4
1979	17.6	34.0
1980	16.5	31.0
1981	18.6	31.1
1982	12.3	25.9
1983	21.1	35.8
1984	15.9	31.7
1985	16.3	26.9
1986	13.5	20.5
1987	16.0	31.7
1988	16.2	28.5
1989	24.3	47.0
1990	19.7	37.4
1991	13.3	27.9
1992	20.4	38.8
1993	18.3	33.1
1994	12.1	23.0
1995	18.0	38.0
1996	10.8	22.3
1997	24.6	51.8
1998	16.1	33.2
1999	12.9	22.9
2000	21.5	43.6
2001	11.6	21.3
2002	15.5	25.9
2003	14.8	28.7
2004	20.4	31.0
2005	22.8	43.9
2006	20.4	31.4
2007	23.4	40.8
2008	19.9	37.8
2009	18.9	33.9
2010	17.2	34.3
2011	23.1	35.8
2012	26.0	48.5
2013	20.1	30.6
2014	21.6	34.1
2015	12.0	24.0
2016	12.3	20.8
		
		
