"Model.k","DAICc.logL","anc1.anc2.anc3","opt1.opt2.opt3","a11.a22.a33","a12.a13","s11.s22.s33","s12.s13.s23"
"1a (6)","16.38/75.8","(1.27, -4.01, 1.59)","(NA, NA, NA)","(0, 0, 0)","(0, 0)","(0, 4.56, 3.47)","(0, 0, 0)"
"1b (9)","6.21/85.16","(1.27, -4, 1.59)","(NA, NA, NA)","(0, 0, 0)","(0, 0)","(0.01, 4.72, 3.55)","(-0.06, -0.06, 2.45)"
"2a (8)","14.3/79.62","(1.28, -4.01, 1.59)","(1.23, NA, NA)","(2463.16, 0, 0)","(0, 0)","(5.47, 4.56, 3.47)","(0, 0, 0)"
"2b (11)","5.78/88.6","(1.27, -4, 1.59)","(1.14, NA, NA)","(0.89, 0, 0)","(0, 0)","(0, 4.5, 3.43)","(-0.02, -0.01, 2.25)"
"3a (12)","5.01/90.72","(1.27, -4.01, 1.59)","(1.13, -4.05, 1.6)","(0.78, 35.4, 25.25)","(0, 0)","(0, 6.82, 4.68)","(0, 0, 0)"
"3b (15)","0/99.07","(1.27, -4.01, 1.58)","(1.12, -4.06, 1.56)","(0.66, 36.48, 22.23)","(0, 0)","(0, 6.46, 4.05)","(-0.01, -0.01, 2.88)"
"4a (13)","8.6/90.77","(1.27, -4.01, 1.59)","(1.12, -4.05, 1.59)","(0.71, 33.05, 21.69)","(0, 0)","(0, 6.57, 4.36)","(0, 0, 0)"
"4b (16)","4.94/98.79","(1.28, -4, 1.6)","(1.16, -4.04, 1.62)","(1.12, 30.71, 29.22)","(-0.02, 0)","(0, 5.98, 5.3)","(-0.01, -0.01, 3.03)"
"5a (13)","8.66/90.74","(1.27, -4.01, 1.59)","(1.11, -4.05, 1.59)","(0.65, 33.86, 25.38)","(0, 0)","(0, 6.68, 4.66)","(0, 0, 0)"
"5b (16)","5.22/98.64","(1.29, -4, 1.58)","(1.22, -4.05, 1.58)","(10.65, 31.25, 20.55)","(0, -0.06)","(0.02, 6.45, 4.29)","(-0.12, -0.07, 3.06)"
"6a (14)","12.68/90.67","(1.28, -4.01, 1.59)","(1.14, -4.05, 1.61)","(0.95, 36.36, 23.25)","(-0.03, -0.02)","(0, 6.92, 4.46)","(0, 0, 0)"
"6b (17)","8.99/99.08","(1.29, -4.01, 1.58)","(1.22, -4.03, 1.59)","(9.52, 29.55, 26.93)","(1.79, -1.87)","(0, 6.19, 4.63)","(-0.07, -0.1, 2.98)"
