"Model.k","DAICc.logL","anc1.anc2.anc3","opt1.opt2.opt3","a11.a22.a33","a12.a13","s11.s22.s33","s12.s13.s23"
"1a (6)","9.15/327.15","(-1.49, -1.08, 2.03)","(NA, NA, NA)","(0, 0, 0)","(0, 0)","(0.34, 1.33, 1.28)","(0, 0, 0)"
"1b (9)","11.44/329.5","(-1.49, -1.08, 2.03)","(NA, NA, NA)","(0, 0, 0)","(0, 0)","(0.35, 1.32, 1.3)","(0, 0.18, 0.18)"
"2a (8)","10.34/328.86","(-1.49, -1.08, 2.03)","(-1.01, NA, NA)","(4.18, 0, 0)","(0, 0)","(0.35, 1.33, 1.28)","(0, 0, 0)"
"2b (11)","12.57/331.38","(-1.49, -1.08, 2.03)","(-0.99, NA, NA)","(4.12, 0, 0)","(0, 0)","(0.35, 1.32, 1.3)","(0, 0.19, 0.18)"
"3a (12)","3.28/337.28","(-1.49, -1.08, 2.04)","(-1.01, -0.9, 1.69)","(3.95, 9.92, 26.86)","(0, 0)","(0.35, 1.43, 1.56)","(0, 0, 0)"
"3b (15)","7.36/339.19","(-1.49, -1.08, 2.04)","(-0.99, -0.9, 1.7)","(3.77, 9.4, 27.4)","(0, 0)","(0.35, 1.41, 1.59)","(0.02, 0.18, 0.15)"
"4a (13)","0/340.21","(-1.49, -1.09, 2.04)","(-1.06, -0.85, 1.69)","(18.18, 8.65, 30.57)","(-15.13, 0)","(0.39, 1.27, 1.62)","(0, 0, 0)"
"4b (16)","6.16/341.16","(-1.5, -1.08, 2.04)","(-1.03, -0.83, 1.71)","(10.94, 9.48, 25.93)","(-7.29, 0)","(0.37, 1.45, 1.55)","(0.02, 0.19, 0.23)"
"5a (13)","5.86/337.28","(-1.49, -1.08, 2.04)","(-1.03, -0.9, 1.69)","(4.69, 9.82, 27.85)","(0, 0.84)","(0.35, 1.44, 1.59)","(0, 0, 0)"
"5b (16)","9.44/339.52","(-1.49, -1.08, 2.04)","(-0.99, -0.9, 1.69)","(4.01, 9.99, 26.03)","(0, 2.99)","(0.36, 1.44, 1.56)","(0.03, 0.21, 0.14)"
"6a (14)","0.05/341.5","(-1.5, -1.08, 2.04)","(-1.11, -0.91, 1.7)","(30.37, 11.91, 35.3)","(-22.55, 8.62)","(0.4, 1.36, 1.71)","(0, 0, 0)"
"6b (17)","7.92/341.68","(-1.49, -1.08, 2.05)","(-1.09, -0.88, 1.68)","(14.49, 8.91, 24.83)","(-8.17, 2.61)","(0.38, 1.25, 1.46)","(0.02, 0.18, 0.22)"
