"Model.k","DAICc.logL","anc1.anc2.anc3","opt1.opt2.opt3","a11.a22.a33","a12.a13","s11.s22.s33","s12.s13.s23"
"1a (6)","9.15/327.15","(0.02, 0.03, 0.04)","(NA, NA, NA)","(0, 0, 0)","(0, 0)","(0.06, 0.11, 0.11)","(0, 0, 0)"
"1b (9)","11.44/329.5","(0.02, 0.03, 0.04)","(NA, NA, NA)","(0, 0, 0)","(0, 0)","(0, 0.04, 0.06)","(0.01, 0.01, 0.04)"
"2a (8)","10.34/328.86","(0.02, 0.03, 0.04)","(0.17, NA, NA)","(2.77, 0, 0)","(0, 0)","(0, 0.01, 0.01)","(0, 0, 0)"
"2b (11)","12.57/331.38","(0.02, 0.03, 0.04)","(0.18, NA, NA)","(2.8, 0, 0)","(0, 0)","(0.02, 0.04, 0.01)","(0.02, 0.01, 0.02)"
"3a (12)","3.28/337.28","(0.02, 0.03, 0.04)","(0.18, 0.12, 0.05)","(2.72, 4.97, 9.4)","(0, 0)","(0, 0.01, 0.02)","(0, 0, 0)"
"3b (15)","7.36/339.19","(0.02, 0.03, 0.04)","(0.19, 0.13, 0.05)","(2.73, 4.97, 9.73)","(0, 0)","(0.02, 0.04, 0.02)","(0.02, 0.01, 0.02)"
"4a (13)","0/340.21","(0.02, 0.03, 0.04)","(0.13, 0.15, 0.04)","(9.56, 5.07, 10.38)","(9.38, 0)","(0.01, 0.01, 0.02)","(0, 0, 0)"
"4b (16)","6.16/341.16","(0.02, 0.03, 0.04)","(0.12, 0.16, 0.05)","(7.72, 5.69, 9.48)","(6.42, 0)","(0.02, 0.04, 0.02)","(0.02, 0.01, 0.02)"
"5a (13)","5.86/337.28","(0.02, 0.03, 0.04)","(0.15, 0.12, 0.05)","(3.08, 4.96, 9.73)","(0, 4.69)","(0, 0.01, 0.02)","(0, 0, 0)"
"5b (16)","9.44/339.52","(0.02, 0.03, 0.04)","(0.19, 0.12, 0.05)","(3.05, 5.09, 9.45)","(0, 4.65)","(0.02, 0.04, 0.02)","(0.02, 0.01, 0.02)"
"6a (14)","0.05/341.5","(0.02, 0.03, 0.04)","(0.08, 0.1, 0.04)","(13.67, 5.04, 11.84)","(11.53, 7.81)","(0.01, 0.01, 0.02)","(0, 0, 0)"
"6b (17)","7.92/341.68","(0.02, 0.03, 0.04)","(0.08, 0.13, 0.05)","(8.63, 4.67, 9.4)","(6.52, 5.66)","(0.02, 0.03, 0.02)","(0.02, 0.01, 0.02)"
